,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,Nitin Deshmukh?,Fri Sep 22 05:08:07 +0000 2017,RT @CNN: Sean Spicer doesn't believe he ever lied to the American people during his time as White House press secretary https://t.co/XSdviI…,0.0,0.89,0.11,-0.3818
1,@CNN,ASHLEY GRAY,Fri Sep 22 05:08:06 +0000 2017,RT @CNN: N. Korean foreign minister hinted the country could test hydrogen bomb over Pacific. @PHancocksCNN with the latest https://t.co/7r…,0.0,0.856,0.144,-0.4939
2,@CNN,LP,Fri Sep 22 05:08:03 +0000 2017,@ufalldownalot @CNN And that's why the overwhelming majority want to keep Obamacare because it works. Can you explain that?,0.067,0.933,0.0,0.0772
3,@CNN,Irma Nunez,Fri Sep 22 05:08:01 +0000 2017,@comunicaciondif @mileniotv @PresidenciaMX @aristeguicnn @AristeguiOnline @locatel_mx @CNN y así están las cosas co… https://t.co/gya7pRNr1P,0.0,1.0,0.0,0.0
4,@CNN,Shawn and Krystal,Fri Sep 22 05:07:59 +0000 2017,@realDonaldTrump @congressdotgov @TheView @CNN  https://t.co/Qr78Nd4LNl,0.0,1.0,0.0,0.0
5,@CNN,DG,Fri Sep 22 05:07:57 +0000 2017,@CNN Gee I guess that number doesn't include Guam and maybe the West Coast. Or maybe they haven't gotten the word yet..,0.061,0.939,0.0,0.0772
6,@CNN,mario has nipples??,Fri Sep 22 05:07:56 +0000 2017,RT @CNN: K-pop group BTS' record-breaking album conquers three continents https://t.co/n6hcxSf9oT https://t.co/4Qo408BP8R,0.0,1.0,0.0,0.0
7,@CNN,Christian Ramirez,Fri Sep 22 05:07:55 +0000 2017,"RT @CNN: Trump praises South Korean president's use of the word ""deplorable"" to describe North Korea's actions https://t.co/3aP6RP4GAY http…",0.159,0.841,0.0,0.5267
8,@CNN,William,Fri Sep 22 05:07:52 +0000 2017,@CNN  https://t.co/uECDyMedEG,0.0,1.0,0.0,0.0
9,@CNN,Trump sucks cock,Fri Sep 22 05:07:51 +0000 2017,@CNN What? Russians have a pee tape on him too?,0.0,1.0,0.0,0.0
